HUMBOLDT PARK,LA PERLA TAPATIA BAKERY,1
HUMBOLDT PARK,"LATIN GROCERY & LIQUOR, INC",1
HUMBOLDT PARK,MELISSA'S FOOD & LIQUORS INC,1
HUMBOLDT PARK,MID TOWN FOODS,1
HUMBOLDT PARK,NICKEL LIQUOR & MINI MART INC,1
HUMBOLDT PARK,P & I FOOD & LIQUOR INC.,1
HUMBOLDT PARK,QUINTESSENCE,1
HUMBOLDT PARK,"RIO GRANDE FRUIT MARKET, INC.",1
HUMBOLDT PARK,SUNRISE FOOD AND LIQUORS,1
HUMBOLDT PARK,"SWEQI FOOD MART, INC.",1
HUMBOLDT PARK,WALGREENS,1
HYDE PARK,HARPER FOODS,1
HYDE PARK,"HYDE PARK PRODUCE, LTD",1
HYDE PARK,WALGREENS,1
IRVING PARK,ALDI,1
IRVING PARK,CERMAK PRODUCE,1
IRVING PARK,CHARLIES  SUPERMARKET INC.,1
IRVING PARK,CUENCA'S BAKERY & GROCERIES,1
IRVING PARK,J AND P FINER FOODS,1
IRVING PARK,SANABEL GROCERY & BAKERY,1
IRVING PARK,"TONY'S FINER FOODS ENTERPRISES, INC.",1
JEFFERSON PARK,JOLANTA'S INTERNATIONAL DELI,1
JEFFERSON PARK,KORDIAN'S MARKET,1
JEFFERSON PARK,MARIANO'S FRESH MARKET #8507,1
KENWOOD,MARKET IN THE PARK,1
KENWOOD,MICHAELS FRESH MARKET,1
KENWOOD,ONE STOP FOOD & LIQUOR STORE,1
KENWOOD,SAVE-A-LOT,1
LAKE VIEW,JEWEL,3
LAKE VIEW,WHOLE FOODS,2
LAKE VIEW,3600 COMMISSARY,1
LAKE VIEW,PAULINA MARKET,1
LAKE VIEW,SEVEN ELEVEN,1
LAKE VIEW,TREASURE ISLAND FOODS,1
LINCOLN PARK,ALDI,2
LINCOLN PARK,TREASURE ISLAND FOODS,2
LINCOLN PARK,AARAY GROCERY,1
LINCOLN PARK,BIG APPLE FINER FOODS INC,1
LINCOLN PARK,DOMINICK'S # 304/2304,1
LINCOLN PARK,"DOMINICK'S Finer Foods, Inc. #1695",1
LINCOLN PARK,S. S. FOOD & LIQUOR,1
LINCOLN PARK,THE MARKET PLACE FOODSTORE,1
LINCOLN PARK,TRADER JOE'S,1
LINCOLN SQUARE,DOMINICKS #2889,1
LINCOLN SQUARE,GENES SAUSAGE SHOP AT DELI MEYER,1
LINCOLN SQUARE,HARVESTIME FOODS,1
LINCOLN SQUARE,MANDY'S LIQUOR,1
LOGAN SQUARE,FOODSMART,2
LOGAN SQUARE,ALDI,1
LOGAN SQUARE,ARMITAGE PRODUCE INC,1
LOGAN SQUARE,CARNICERIA JIMENEZ #2,1
LOGAN SQUARE,DANNY'S FRESH MARKET,1
LOGAN SQUARE,EL YUNQUE FOOD & LIQUOR,1
LOGAN SQUARE,EMILIO'S PRODUCE,1
LOGAN SQUARE,H & Z GROCERY STORE,1
LOGAN SQUARE,LOGAN CERTIFIED FOODS CORP,1
LOGAN SQUARE,POLONIA FOOD MART,1
LOGAN SQUARE,"R & S DISCOUNT FOOD, WINE, & LIQUOR",1
LOGAN SQUARE,RIVERSIDE DELI,1
LOGAN SQUARE,STRACK & VAN TIL,1
LOGAN SQUARE,"TONY'S FINER FOODS ENTERPRISES, INC.",1
LOOP,BOCKWINKELS,1
LOOP,BURNHAM PLAZA MART,1
LOOP,HARBOR MARKET,1
LOOP,PARKSHORE MARKET LTD,1
LOWER WEST SIDE,ALDI,1
LOWER WEST SIDE,CERMAK PRODUCE,1
LOWER WEST SIDE,DILILAH GROCERY,1
LOWER WEST SIDE,FAIRPLAY FINER FOOD,1
LOWER WEST SIDE,LA CASA DEL PUEBLO INC,1
LOWER WEST SIDE,LA PROVIDENCIA FOOD MART,1
LOWER WEST SIDE,LOS CUATRO HERMANOS GROCERY,1
LOWER WEST SIDE,LUCIANO'S GROCERY-18TH ST,1
LOWER WEST SIDE,MICELI'S DELI & FOOD MART,1
LOWER WEST SIDE,RICHWELL MARKET,1
LOWER WEST SIDE,SUPERMERCADO EL GUERO NO. 8,1
MCKINLEY PARK,CERMAK PRODUCE #5 LTD,1
MCKINLEY PARK,DOMINICK'S # 1100,1
MCKINLEY PARK,FURTERIA EL SERRANITO,1
MCKINLEY PARK,JEWEL,1
MONTCLARE,Laxi Liquor,1
MORGAN PARK,COUNTY FAIR FOODS,1
MORGAN PARK,DIA FOOD & LIQUOR,1
MORGAN PARK,FAIRPLAY FOODS INC,1
MORGAN PARK,JEWEL,1
MORGAN PARK,M & D VARIETY STORE,1
MORGAN PARK,SAVE-A-LOT,1
MORGAN PARK,STOP & GO FOOD MART,1
MOUNT GREENWOOD,FAMILY PRIDE,1
MOUNT GREENWOOD,JEWEL,1
MOUNT GREENWOOD,S & T PROVISION CO INC,1
NEAR NORTH SIDE,JEWEL,2
NEAR NORTH SIDE,WHOLE FOODS,2
NEAR NORTH SIDE,CITY GROCERY,1
NEAR NORTH SIDE,Chicago Health - Maple Street,1
NEAR NORTH SIDE,DOMINICK'S #153/2153,1
NEAR NORTH SIDE,Dominick's #1703,1
NEAR NORTH SIDE,EUROPA GALLERIA INC,1
NEAR NORTH SIDE,L'APPETITO,1
NEAR NORTH SIDE,MUNCHIES ON LARRABEE,1
NEAR NORTH SIDE,ORLEANS MARKET,1
NEAR NORTH SIDE,POTASH BROS INC,1
NEAR NORTH SIDE,POTASH BROS. SUPERMARKET,1
NEAR NORTH SIDE,TRADER JOE'S,1
NEAR NORTH SIDE,TREASURE ISLAND FOODS,1
NEAR NORTH SIDE,TREASURE ISLAND FOODS INC,1
NEAR SOUTH SIDE,JEWEL,1
NEAR SOUTH SIDE,"Kan-Zaman Mart, Inc.",1
NEAR WEST SIDE,ARISTA FOODS,1
NEAR WEST SIDE,ATHENS GROCERY,1
NEAR WEST SIDE,DOMINICK'S #147/1147,1
NEAR WEST SIDE,DOMINICK'S #1875,1
NEAR WEST SIDE,JEWEL,1
NEAR WEST SIDE,PEORIA PACKING LTD,1
NEAR WEST SIDE,TRATTORIA ISABELLA,1
NEAR WEST SIDE,WEST HAVEN MARKET & GRILL,1
NEAR WEST SIDE,WHOLE FOODS,1
NEW CITY,ALDI,1
NEW CITY,ALMUFLIHI FOOD & LIQUOR,1
NEW CITY,E.M. GROCERIES,1
NEW CITY,FAIRPLAY FINER FOODS INC,1
NEW CITY,FOOD 4 LESS,1
NEW CITY,GOLDMORE FOOD,1
NEW CITY,HAREER FOOD & LIQUOR,1
NEW CITY,INTERNATIONAL SUPERMARKET INC,1
NEW CITY,K & K FOOD & LIQUOR,1
NEW CITY,"PARK PACKING OF CHICAGO, INC.",1
NEW CITY,SUPER DOLLAR DISCOUNT,1
NEW CITY,SUPER FURNITURE & FOOD MART,1
NEW CITY,SUPER MAS MARKET,1
NEW CITY,SUPER MERCADO EL GUERRO,1
NEW CITY,SUPERIOR NUT & CANDY  CO.I INC.,1
NEW CITY,SUPERMERCADO EL CUBANO INC,1
NEW CITY,WALMART,1
NORTH CENTER,JEWEL,2
NORTH CENTER,ALDI,1
NORTH CENTER,CLYBOURN MARKET,1
NORTH CENTER,DOMINICK'S # 86/1086,1
NORTH CENTER,TRADER JOE'S,1
NORTH LAWNDALE,LAWNDALE FOOD MARKET,1
NORTH LAWNDALE,SAVE-A-LOT,1
NORTH LAWNDALE,SOLID GOLD,1
NORTH LAWNDALE,"WAY LOW DISCOUNT FOOD, INC.",1
NORTH PARK,CHICAGO FOOD CORP,1
NORTH PARK,JEWEL,1
NORWOOD PARK,DOMINICK'S # 113/1113,1
NORWOOD PARK,JEWEL,1
NORWOOD PARK,Natural Country Deli,1
NORWOOD PARK,THE PRODUCE CENTER,1
OHARE,JEWEL,1
PORTAGE PARK,JEWEL,2
